"","well_name","a_mean","a_sd","acer_mean","acer_sd","aacer_ratio","sd_warning","ct_warning","rep"
"49","172",32.18,0.0989949493661171,24.875,0.15556349186104,0.000702640812975181,NA,NA,NA
"50","173",32.285,1.18086832458153,24.42,0.0494974746830585,0.000476602783761741,"a*",NA,NA
"51","174",32.66,0.296984848098346,24.31,0.0212132034355972,0.00034053129248991,NA,NA,NA
"52","176-JD",30.735,0.912167747730646,25.48,0.0212132034355972,0.00290967755093038,NA,NA,NA
"53","177",37.43,0.0565685424949226,24.105,0.0282842712474613,0.0000108276148323113,NA,NA,NA
"54","18",33.365,0.091923881554253,24.965,0,0.000328931546551737,NA,NA,NA
"55","181",41,0,24.36,0.176776695296637,0.00000108797361379234,NA,"a*",NA
"56","183",28.425,0.0636396103067892,24.42,0.106066017177984,0.00692041849186022,NA,NA,NA
"57","184",32.445,0.728319984622145,24.275,0.0565685424949251,0.000385782413700768,NA,NA,NA
"58","185",31.29,0.0282842712474613,24.58,0.0777817459305198,0.00106131968549659,NA,NA,NA
"59","186",26.27,0.197989898732234,24.165,0.0282842712474613,0.0258279150725878,NA,NA,NA
"60","187",33.15,0.113137084989845,24.365,0.0989949493661171,0.000251888870308967,NA,NA,NA
"61","188",28.68,0.76367532368147,24.215,0.0707106781186558,0.00503104914776,NA,NA,NA
"62","19",37.1,0.311126983722079,24.59,0.0212132034355972,0.0000190490027633734,NA,NA,NA
"63","190",41,0,24.105,0.0282842712474613,0.000000911707891216175,NA,"a*",NA
"64","191",32.86,0.325269119345812,24.46,0.0212132034355972,0.000328931546551736,NA,NA,NA
"65","196",29.055,0.502045814642449,24.385,0.0141421356237306,0.00436462977264523,NA,NA,NA
"66","197",27.345,0.0636396103067892,24.36,0.00707106781186407,0.0140340478678717,NA,NA,NA
"67","198",41,0,24.09,0.0212132034355972,0.000000902277783248359,NA,"a*",NA
"68","200",27.685,1.1667261889578,24.745,0.325269119345812,0.0144786911227933,"a*",NA,NA
"69","21",34.375,0.0353553390593254,24.665,0.0424264068711945,0.000132664960687073,NA,NA,NA
"70","24",34.23,0.707106781186548,24.43,0.091923881554253,0.000124641748589088,NA,NA,NA
"71","27",26.265,0.0494974746830585,24.14,0.106066017177981,0.0254723345334631,NA,NA,NA
"72","28",35.13,0.353553390593274,23.87,0.0353553390593279,0.0000453064192398202,NA,NA,NA
"73","28-JD",24.74,0.296984848098349,26.075,0.0848528137423839,0.280306090851388,NA,NA,NA
"74","29",24.335,1.13844191771034,24.55,0.0212132034355972,0.128967101598191,"a*",NA,NA
