"","site","timepoint","genotype","array","tag_number","number_branches","sa","volume","tle","sav","breakage","growth","initial_tle","initial_sa","initial_vol","initial_sav"
"49","Daves","3","31","17","166",0,3.020667,0.482921,1.242905,6.25499201732789,0,-6.045428,7.948332,21.8192731357948,4.27125349535006,5.10840041677428
"50","Daves","3","50","17","167",6,49.072094,13.403499,16.443695,3.66114057232369,1,8.266798,7.971973,22.9214745539413,4.73152155248589,4.8444193479154
"51","Daves","3","36","17","168",3,26.780066,10.518738,6.427747,2.54593906607428,5,-8.540506,9.085603,30.5791083671139,7.37787616338586,4.14470339294506
"52","Daves","3","62","17","169",9,59.426945,19.735725,16.8387,3.01113564361076,0,0.522967000000005,7.863658,27.504534690598,6.83732614844756,4.0227033336479
"53","Daves","3","44","17","170",9,66.832901,17.026674,22.997146,3.92518826636371,1,4.191075,8.727191,27.8429312918514,6.62555784936509,4.20235275653348
"54","Daves","3","31","18","172",8,26.944014,6.900197,11.832674,3.90481807983163,2,-0.0791000000000004,9.350462,28.8263309952607,5.84170761856998,4.93457271014827
"55","Daves","3","41","18","173",9,50.408398,12.937525,20.841404,3.89629376561591,0,9.54053,7.699077,22.4864240301142,4.54077441733744,4.95211212084381
"56","Daves","3","36","18","174",7,105.032837,30.254705,29.035621,3.47161993481675,1,13.822218,8.970528,31.268821974591,7.98593482498237,3.91548674762193
"57","Daves","3","3","18","175",7,77.96022,22.878942,23.103815,3.40750984027146,0,6.647696,8.098509,28.9306519772093,7.49823266654212,3.8583294575935
"58","Daves","3","50","18","176",7,66.372727,17.95784,20.329296,3.69603064733843,4,7.46555799999999,7.948463,25.0260022927802,5.61127625077701,4.4599483565463
"59","Daves","3","62","19","181",5,32.175705,12.151731,5.400893,2.64782893893882,0,1.249852,8.396349,25.8293458470191,5.69171717381186,4.53805856093173
"60","Daves","3","41","19","183",9,54.611816,12.157468,18.845224,4.49203863830857,0,NA,7.021056,21.9213138242854,4.75817411995842,4.60708525405475
"61","Daves","3","36","19","184",5,79.918831,22.352002,21.835299,3.57546634972563,0,6.947121,8.847122,30.9334308256169,7.91730065484616,3.90706784725708
"62","Daves","3","1","19","185",12,39.644466,11.990939,11.747847,3.30620195799512,0,NA,7.847682,22.9000814757767,5.08791348003416,4.50087871298136
"63","Daves","3","3","19","186",9,52.917068,17.824001,15.102193,2.96886585677368,0,7.225135,7.487703,20.6794887369666,4.23195089326332,4.88651434256608
"64","Daves","3","7","19","189",7,37.621845,12.875258,6.584838,2.92202649453704,0,1.499187,6.692168,19.6128339151408,4.02492373675144,4.87284609545683
"65","Daves","3","13","19","190",4,28.363359,7.805259,11.09883,3.63387800456077,0,3.235927,7.277697,18.8884416264408,3.39980486466943,5.5557428671064
"66","Daves","3","36","20","191",7,82.986778,27.257402,21.123614,3.04455934575129,0,0.846020999999993,10.568982,36.6995637165455,8.68182760827427,4.22717028861167
"67","Daves","3","3","20","197",11,45.811008,11.577204,11.932682,3.95700101682582,0,3.532331,8.128202,23.8231757614086,4.70490178290754,5.06347993234543
"68","Daves","3","50","20","198",8,36.104282,11.395525,6.523102,3.16828597190564,0,0.290645999999999,9.018113,30.2203986517411,6.69552880656428,4.51351932383789
"69","Daves","3","13","20","199",0,17.643322,5.402658,4.343409,3.26567441433457,5,-18.306641,9.327672,29.8078440649043,6.27761672700754,4.74827396465049
"70","Daves","3","7","20","200",12,74.484734,22.369202,21.437008,3.32978950254908,0,8.817281,7.380193,24.4970518937503,6.02454902033764,4.06620509038159
"71","Looe","3","1","1","7",10,38.837135,9.262885,14.007607,4.19276877560285,0,8.881372,6.418923,16.6182386777574,3.60207149470096,4.61352271941427
"72","Looe","3","44","1","8",0,23.143555,5.990506,4.554334,3.86337230945099,0,0.683781,9.755547,32.930587926239,7.89758823205133,4.16970180752074
"73","Looe","3","36","1","9",8,87.274506,26.265743,25.771985,3.32275032158809,0,7.772409,8.978914,39.5794758223108,11.2781195691377,3.50940381325794
"74","Looe","3","3","1","10",5,18.991714,3.830088,7.536412,4.95855813234579,1,4.159386,6.081557,16.3260820684867,3.43354609683336,4.75487487514546
"75","Looe","3","31","2","13",8,58.867455,16.017855,22.974734,3.67511473914578,0,6.338041,7.499077,23.0373037969593,5.34791981492587,4.30771301631393
"76","Looe","3","50","2","14",4,50.427799,61.216076,13.575044,0.823767256823191,0,5.363517,8.623048,28.2963066681588,5.74704857481806,4.92362406542817
"77","Looe","3","41","2","15",6,42.242546,11.660167,16.005532,3.62280797522025,0,6.670638,8.723368,26.6698742420169,5.90036201803937,4.52004032303072
"78","Looe","3","3","2","17",6,86.64621,20.859487,28.041464,4.15380349478393,0,9.594851,8.186712,25.1183676880221,5.11935164940668,4.9065525105964
"79","Looe","3","7","2","18",6,78.203522,29.30452,19.950198,2.66865050169735,1,6.486411,8.401778,36.1738853884279,11.3541404165822,3.18596424398605
"80","Looe","3","36","2","19",6,62.330208,17.750748,17.533001,3.5114130401716,0,4.748617,10.431457,42.2135108036163,9.45777240418876,4.46336716507582
"81","Looe","3","3","3","21",8,69.028954,18.428091,20.054125,3.74585484736319,0,8.188812,7.282414,25.6769660573586,6.6013738472966,3.88963974035099
"82","Looe","3","1","3","29",5,56.38739,17.42933,18.274625,3.23520123837233,0,5.985108,7.14955,20.569193177109,4.44066274941443,4.63200975571076
"83","Looe","3","36","3","30",6,113.907738,35.308526,32.374668,3.22606891038159,0,13.625418,10.165267,32.3393480998902,7.59521854725886,4.2578561628831
"84","Looe","3","41","4","31",4,21.281168,3.567966,9.526178,5.96450975149427,0,4.550169,9.481329,25.7426814630113,4.79130486548354,5.37279137640792
"85","Looe","3","50","4","32",5,30.504725,9.226396,12.33442,3.30624493030648,0,5.129924,8.316473,24.7531848746972,4.95485645250385,4.99574207890294
"86","Looe","3","44","4","34",14,122.435493,29.644083,39.196448,4.13018318023195,2,17.170601,8.729765,29.2589753717227,6.96643615279759,4.19999189398626
"87","Looe","3","36","4","35",1,12.91698,4.495011,4.177089,2.87362589324031,0,1.097659,8.733731,26.0720226175571,5.65220144785539,4.61271999203949
"88","Looe","3","62","4","36",7,98.735619,98.735619,29.351159,1,0,10.989142,9.054286,31.2221568016546,7.88735549819184,3.95850761498099
"89","Looe","3","1","4","40",6,24.447165,7.101753,10.204045,3.44241273950249,0,6.39122,8.239419,26.2306148438811,5.69472068566005,4.60612842872746
"90","Looe","3","31","5","41",0,18.801893,5.208757,3.544659,3.60966983101727,5,-15.616602,8.032514,20.2922105099042,3.88074492938708,5.22894724573129
"91","Looe","3","44","5","42",10,102.443817,28.911844,33.777309,3.54331660754672,0,11.2436,9.608008,30.8752489841031,7.31096867084583,4.22314064991487
