group,ID,sgs,scs,int,slope,r2
Looe61,61,102.7326667,5.591580398,294.9480889,-34.37586667,0.980353805
Looe62,62,67.55766667,5.679979957,238.6673333,-30.12504762,0.956648387
Looe63,63,87.076,6.181557323,274.3740667,-30.29949524,0.994892105
Looe64,64,108.617,5.912687732,276.5382889,-28.4001619,0.996114699
Looe65,65,93.61166667,6.268595688,286.3691333,-30.74970476,0.996124889
Looe66,66,79.62133333,6.204348987,264.1380222,-29.73989524,0.98894401
Looe67,67,94.53166667,6.439828821,283.1689111,-29.29227619,0.995976095
Looe68,68,96.65133333,7.265608792,275.2005556,-24.57457143,0.989866107
Looe6,6,114.5696667,7.054835371,279.5652,-23.38758095,0.982041232
Looe70,70,110.8913333,4.572987359,271.4189556,-35.10344762,0.969453421
Looe77,77,102.0713333,5.177625216,287.2172444,-35.75884762,0.980303234
Looe78,78,93.988,5.676971451,257.4847778,-28.8,0.970257112
Looe79,79,137.5126667,3.984299614,269.0215333,-33.00677143,0.973381367
Looe7,7,109.5073333,9.262972612,245.1212222,-14.64042857,0.995531905
Looe80,80,112.2326667,5.362063674,274.5664889,-30.27450476,0.995909925
Looe81,81,89.75233333,6.453527226,261.1891778,-26.56482857,0.976271783
Looe83,83,88.313,5.211565804,250.3394889,-31.08979048,0.979919256
Looe84,84,95.69,5.684734648,265.1139333,-29.80331429,0.978177522
Looe85,85,110.017,5.957432268,284.5591556,-29.29821905,0.995943784
Looe86,86,80.817,6.047127328,293.4344,-35.16006667,0.990115537
Looe87,87,116.8303333,5.077644511,285.7057778,-33.25861905,0.986084596
Looe88,88,91.979,6.31060579,280.4480667,-29.86544762,0.977623015
Looe89,89,72.554,6.440501432,272.7755111,-31.08787619,0.995556565
Looe8,8,85.712,6.053940059,259.9927111,-28.78798095,0.981717507
Looe90,90,163.9643333,4.362346844,279.5568444,-26.49778095,0.995340414
Looe91,91,93.293,5.855043852,251.8899111,-27.08722857,0.969433914
Looe92,92,78.523,6.572702092,266.0786222,-28.53554286,0.990012585
Looe93,93,65.507,6.526113389,265.7832889,-30.68844762,0.975308956
Looe94,94,71.12466667,6.625083494,269.8099111,-29.98984762,0.989326335
Looe95,95,75.71766667,5.544600059,240.1569333,-29.65755238,0.97186241
Looe96,96,77.99533333,6.116718888,270.2189333,-31.42593333,0.994223514
Looe97,97,85.40733333,6.308369409,276.5628222,-30.30188571,0.995888015
Looe98,98,99.04233333,5.679717397,264.1638889,-29.07214286,0.977967173
Looe99,99,140.5703333,4.197739664,267.8209333,-30.31407619,0.993848943
Looe9,9,169.06,5.448125031,272.1828889,-18.92814286,0.979916417
