group,ID,sgs,scs,int,slope,r2
Looe47,47,160.2496667,3.158998239,247.6723556,-27.67418095,0.971735482
Looe48,48,103.4163333,5.092660383,244.3488222,-27.67364762,0.974938021
Looe49,49,186.8896667,1.717900745,234.1984444,-27.53871429,0.963435533
Looe4,4,182.1716667,2.822857233,265.4218667,-29.49146667,0.991164877
Looe50,50,169.767,2.496478384,241.1252444,-28.5835619,0.968933247
Looe51,51,130.33,2.68653372,199.6556444,-25.80486667,0.952535565
Looe52,52,164.3156667,1.858708512,217.3078889,-28.5102381,0.971203896
Looe53,53,123.5533333,2.713304236,191.9601778,-25.2116381,0.946439387
Looe54,54,115.3776667,4.169329009,237.2825333,-29.23848571,0.978057476
Looe55,55,87.00433333,4.173191422,188.4032667,-24.29769524,0.962929276
Looe56,56,100.7763333,4.273051579,216.8921556,-27.17398095,0.964961585
Looe59,59,48.77633333,6.181864633,213.9683556,-26.7220381,0.974838513
Looe60,60,169.9303333,2.494556814,241.4068222,-28.65298095,0.970873983
Looe61,61,193.1573333,3.087718948,268.2231333,-24.31108571,0.974115561
Looe62,62,156.9553333,2.894379698,239.7228222,-28.59593333,0.959075419
Looe63,63,167.127,3.084863987,255.8441333,-28.75884762,0.975791883
Looe64,64,176.4133333,3.376324023,263.5298889,-25.80219048,0.975671418
Looe65,65,165.948,2.591181148,239.4494444,-28.366,0.960026875
Looe66,66,112.8146667,5.378367099,254.0832667,-26.26607619,0.968742594
Looe67,67,123.6086667,3.601325528,227.0974889,-28.73631429,0.956428949
Looe69,69,156.8326667,2.585106293,222.0999778,-25.2474381,0.964028128
Looe6,6,138.6326667,3.796904618,236.4254889,-25.75593333,0.97182479
Looe70,70,153.8386667,2.655021825,227.1858444,-27.62582857,0.954904417
Looe72,72,173.9286667,1.949826467,225.4415778,-26.41922857,0.982716045
Looe77,77,134.3416667,3.554282273,235.2792889,-28.39887619,0.983032093
Looe7,7,151.8393333,3.434871466,236.3755111,-24.6111619,0.963510447
Looe80,80,184.9526667,2.493555576,258.912,-29.66019048,0.982518014
Looe81,81,82.69566667,5.874271897,240.7147556,-26.9002,0.955055319
Looe83,83,170.585,2.899834465,257.5906667,-30.00366667,0.973511437
Looe84,84,179.4613333,3.222598183,263.0462,-25.93710476,0.971758596
Looe86,86,127.5326667,3.566192728,224.9223333,-27.30914286,0.976840417
Looe87,87,197.6526667,2.005033807,251.8119333,-27.01164762,0.97647354
Looe88,88,163.8046667,2.858038067,246.5484889,-28.95126667,0.970311077
Looe89,89,166.3956667,2.741153508,250.0946222,-30.53420952,0.972620158
Looe8,8,166.12,3.133067361,249.9015333,-26.74105714,0.97789769
Looe90,90,201.5606667,2.854878744,270.9361778,-24.30068571,0.980214912
Looe91,91,163.6443333,2.611127836,241.2935556,-29.73780952,0.973551652
Looe92,92,166.0533333,3.022381898,250.3592222,-27.89385714,0.984847724
Looe93,93,179.3153333,3.636058233,267.7133111,-24.31148571,0.980528582
Looe94,94,133.6776667,3.068083521,216.2055778,-26.89884762,0.972791048
Looe96,96,122.884,4.083302892,237.6440222,-28.10470476,0.980841085
Looe97,97,190.1016667,2.336590215,255.4676667,-27.97495238,0.978550239
Looe98,98,199.4066667,1.876376512,254.5028889,-29.36309524,0.984248016
Looe99,99,197.7593333,1.676283134,242.9436889,-26.95508571,0.96890203
Looe9,9,115.4126667,4.943407071,246.3931333,-26.49599048,0.970909973
