"","site","genotype","array","tag_number","T0","timepoint","growth","number_branches","sa","volume","tle","sav"
"383","Looe","62","9","82",8.779782,"T1",-4.635448,0,4.992687,13.423357,4.144334,0.371940267997044
"384","Looe","62","9","82",8.779782,"T2",0.395513,0,13.564935,4.681876,4.539847,2.89732897667516
"385","Looe","1","9","85",9.584589,"T1",-3.415328,0,18.629633,6.634934,6.169261,2.80780984407682
"386","Looe","1","9","85",9.584589,"T2",2.45069,3,26.858564,9.279202,8.619951,2.89449071159352
"387","Looe","1","10","93",6.595071,"T1",-2.236972,0,13.338959,4.165022,4.358099,3.20261429591488
"388","Looe","1","10","93",6.595071,"T2",1.204962,0,23.663908,8.173213,5.563061,2.89530053847856
"389","Daves","41","11","105",7.431202,"T1",-6.427415,0,2.864377,0.411392,1.003787,6.96264633245177
"390","Daves","36","11","110",8.522375,"T1",-4.779865,1,13.69286,4.374237,3.74251,3.13034250316112
"391","Daves","41","16","155",7.17699,"T1",-5.019661,0,5.376648,1.282656,2.157329,4.19180824788564
"392","Looe","13","3","22",6.342104,"T1",-4.011387,0,5.071473,1.302356,2.330717,3.89407581337207
"393","Daves","50","11","104",NA,"3",NA,0,11.821035,2.964593,3.502566,3.98740569110161
"394","Daves","50","12","119",NA,"3",NA,10,41.925243,9.297899,18.25476,4.50910931598633
"395","Daves","13","13","127",NA,"3",NA,0,9.737983,2.018868,3.510168,4.8234867262248
"396","Daves","41","19","183",NA,"3",NA,9,54.611816,12.157468,18.845224,4.49203863830857
"397","Daves","1","19","185",NA,"3",NA,12,39.644466,11.990939,11.747847,3.30620195799512
"398","Looe","7","5","46",NA,"3",NA,4,40.935078,12.50001,10.587502,3.2748036201571
"399","Looe","50","6","51",NA,"3",NA,15,106.727562,28.684597,32.494513,3.7207272599995
"400","Looe","62","6","54",NA,"3",NA,7,123.36644,37.231428,32.624599,3.31350277512858
"401","Looe","3","9","81",NA,"3",NA,0,20.984846,5.488791,5.905411,3.82321826427714
"402","Looe","50","9","84",NA,"3",NA,5,86.970909,23.421616,29.122472,3.71327533505801
"403","Looe","44","9","88",NA,"3",NA,14,146.985825,43.088352,43.910477,3.41126587992968
"404","Looe","7","9","89",NA,"3",NA,6,76.893661,27.020436,17.959284,2.84575944666474
"405","Looe","31","10","98",NA,"3",NA,5,21.675947,4.959636,7.458157,4.37047134104196
"406","Daves","41","12","112",NA,"T2",NA,8,58.471157,16.534743,20.60426,3.5362604063456
"407","Daves","41","14","135",NA,"T2",NA,0,12.975348,4.059011,4.546726,3.19667722014057
"408","Daves","7","14","136",NA,"T2",NA,0,29.598276,12.469373,3.731683,2.37367797081698
"409","Daves","3","14","137",NA,"T2",NA,3,30.091993,10.462178,7.572367,2.87626467452571
"410","Daves","44","15","142",NA,"T2",NA,0,19.891045,7.313998,4.119504,2.71958578605026
"411","Daves","3","16","153",NA,"T2",NA,22,99.452744,27.420685,37.748606,3.62692412680427
"412","Daves","44","18","180",NA,"T2",NA,4,34.884834,9.982869,12.817006,3.49446977617356
"413","Looe","41","2","15",NA,"T2",NA,2,28.895887,9.608,9.334894,3.00748199417152
"414","Looe","3","3","21",NA,"T2",NA,5,41.15789,11.750795,11.865313,3.5025621670704
"415","Looe","13","4","33",NA,"T2",NA,0,10.391867,2.413172,4.588218,4.30631011796921
"416","Looe","62","5","44",NA,"T2",NA,11,86.026634,25.924826,27.948348,3.31831095028372
"417","Looe","1","5","48",NA,"T2",NA,5,46.218544,12.897208,14.717333,3.58360848332445
"418","Looe","36","7","65",NA,"T2",NA,4,27.140404,10.648322,8.89479,2.54879632678275
"419","Daves","3","11","107",NA,"T0",NA,0,20.5802972503586,4.18443849203534,7.475078,4.91829364669385
"420","Daves","13","11","109",NA,"T0",NA,0,27.8597128742587,6.04770577855314,9.430051,4.60665811042876
"421","Daves","1","11","102",NA,"T0",NA,0,22.9606301329214,4.75752476417912,8.351011,4.8261714380972
"422","Daves","41","11","105",NA,"T0",NA,0,9.74866071992688,3.51542136052536,7.431202,2.77311301268022
"423","Daves","36","11","110",NA,"T0",NA,0,31.0125342872708,8.06888562325063,8.522375,3.84347179217756
"424","Daves","44","11","108",NA,"T0",NA,0,20.5500941399539,3.95332899561469,7.973911,5.19817454169626
"425","Daves","50","11","104",NA,"T0",NA,0,24.5353921686867,5.26948328471965,8.368973,4.65612866442408
"426","Daves","7","11","106",NA,"T0",NA,0,34.4990441074236,9.33247431718544,9.553802,3.69666638609385
"427","Daves","31","11","101",NA,"T0",NA,0,30.0083273198635,6.8979917473096,9.973947,4.35029910431069
"428","Daves","44","12","114",NA,"T0",NA,0,27.848955960527,3.03467540710448,8.069067,9.17691424108482
"429","Daves","7","12","111",NA,"T0",NA,0,34.0759634502606,10.3303997036779,8.356634,3.29861035658947
"430","Daves","1","12","113",NA,"T0",NA,0,22.4773807334876,4.91972201116134,7.770432,4.56883146700024
"431","Daves","41","12","112",NA,"T0",NA,0,25.1466538227569,5.49549323759106,8.595634,4.57586839535079
"432","Daves","3","12","117",NA,"T0",NA,0,22.0372753310957,4.77719297890572,7.280578,4.61301760854209
"433","Daves","13","12","120",NA,"T0",NA,0,19.9860975372938,3.74922701844874,7.824861,5.33072482379665
"434","Daves","31","12","116",NA,"T0",NA,0,23.3538523055691,4.86459893057916,7.548528,4.80077651597656
